state_code,state_name_en,intensity_idx,high_intensity,policy_year,notes
01,Jammu_Kashmir,2,0,1965,medium-political-instability
02,Himachal_Pradesh,3,1,1955,early-mountain-investment
03,Punjab,3,1,1960,green-revolution-co-investor
04,Chandigarh,4,1,1955,UT-urban-high
05,Uttarakhand,2,0,1970,part-of-UP-pre-2000
06,Haryana,3,1,1960,split-from-Punjab-1966
07,Delhi,4,1,1950,UT-capital-highest-investment
08,Rajasthan,1,0,1975,low-historical-baseline
09,Uttar_Pradesh,1,0,1980,Hindi-belt-late
10,Bihar,1,0,1985,lowest-historical-baseline
11,Sikkim,2,0,1975,small-NE-state
12,Arunachal_Pradesh,2,0,1975,NE-tribal
13,Nagaland,2,0,1965,NE-mission-school-tradition
14,Manipur,2,0,1965,NE-tribal
15,Mizoram,3,1,1965,NE-mission-school-high-literacy
16,Tripura,2,0,1965,NE-Bengali
17,Meghalaya,2,0,1965,NE-tribal
18,Assam,2,0,1965,NE-mid
19,West_Bengal,2,0,1965,Bengali-mid-investment
20,Jharkhand,1,0,1985,split-from-Bihar-2000
21,Odisha,1,0,1975,Eastern-low
22,Chhattisgarh,1,0,1985,split-from-MP-2000
23,Madhya_Pradesh,1,0,1975,central-low
24,Gujarat,3,1,1960,industrial-early-investor
27,Maharashtra,4,1,1955,Bombay-high-investment
28,Andhra_Pradesh,3,1,1965,Banks-2020-high-intensity
29,Karnataka,3,1,1960,Banks-2020-high-intensity
32,Kerala,4,1,1950,highest-literacy-leader-Banks-2020
33,Tamil_Nadu,4,1,1955,Banks-2020-high-intensity-Madras
36,Telangana,3,1,1965,split-from-AP-2014-similar-pattern
